asin,title,price,old_price,rating,review_count,sales_last_month,link
B0DQ95JVN3,"Note Cosmetics Matte Queen Lipstick 24 Ravishing Rose Kalıcı Likit Ruj, Nude",359.9,359.9,4.0,1.0,,None
B0DZLQYGT9,"Note Cosmetics Hydramoist Lipgloss 12 Magic Touch Nemlendirici Dudak Parlatıcısı, Işıltılı",239.95,239.95,,,,None
B0DZM1ZHW5,"Note Cosmetics Hydramoist Lipgloss 24 Smell Of Coffee Nemlendirici Dudak Parlatıcısı, Nude",239.95,239.95,,,,None
B0FTZST5B8,Youth Serum,20000.0,6000.0,,,,None
B0FTZT9K2R,Anti Aging Elixir,10400.0,5200.0,,,,None
B0839KHYVS,L'Oreal Paris Yaş Uzmanı 50+ Kırışıklık Karşıtı Yenileyici Krem,717.5,358.75,4.5,114.0,,None
B0D7TMDHLH,"Clasy Care Göz Altı Kremi – Morluk ve Şişlik Karşıtı –%5 Kafein +%2 Hyalüronik Asit – Kırışıklık, Torba ve İnce Çizgiler için Aydınlatıcı Göz Kremi – Kore Esintili Göz Çevresi Kremi, 40 ml",349.0,349.0,4.1,32.0,50.0,None
B0B34W1GGB,Dove Beauty Cream Bar Pink Nemlendirici Krem 90 g,48.59,43.73,4.7,265.0,200.0,None
B0CL6YF9Y9,L'Oreal Paris Revitalift Clinical Anında Aydınlatıcı C Vitamini Serum Etkili Maske,188.95,188.95,4.6,12.0,,None
B0CJ5HL15P,L'Oreal Paris Color Riche Saten Bitişli Ruj - 570 Worth It Intense,623.96,623.96,4.3,332.0,,None
B086QW5GBJ,MISSHA 48 Saat Kalıcı Saten Fondöten 15ml SPF50+ Radiance Perfect Fit Cushion Foundation No.21/Fair,926.15,926.15,5.0,4.0,,None
B07X2TJNZG,Golden Rose Nude Look Perfect Matte Lips Ruj No:01 Coral Nude,1234.5,246.9,4.2,66.0,,None
B0C94XY9BD,Kiss Me More Yüksek Pigmentli & Mat Bitişli Nemlendirici Likit Ruj,10089.21,383.39,4.1,40.0,,None
B097F72ZQ7,Golden Rose Glow Kiss Tinted Lip Balm No: 03 Berry Pink - Renkli Dudak Nemlendiricisi SPF15,164.99,164.99,4.2,379.0,,None
B0CWRZK4XW,Maybelline New York Sunkisser Likit Allık- 08 Shades On,418.0,418.0,4.3,240.0,,None
B0C94TYXMH,Baked Blush-On Yüksek Pigmentli & Mat Bitişli Fırınlanmış Allık,9374.75,374.99,4.2,143.0,,None
B0D2DPYKXH,"Cream Co. Dudak Parlatıcısı Nemlendirici Besleyici Lip Oil Gloss, Dudak Yağı, Ahududu Aromalı, E Vitamini",330.8,330.8,3.8,47.0,,None
B01KWG156O,Gabrini Eye Max Eyebrow Pencil 4,80.0,80.0,4.6,33.0,,None
B0CPT6RV61,L'Oreal Paris Glotion All-In-One Doğal Işıltı Aydınlatıcı Losyon - 904 Deep Glow,499.0,499.0,4.5,11.0,,None
B0CJ5G8LKV,L'Oreal Paris Panorama Hacim Veren Maskara - Koyu Kahverengi,719.96,719.96,4.1,1.0,,None
B0F16HLL8F,Pierre Cardin Staylong Lipcolor-Kissproof – Uzun Süre Kalıcı Lipgloss-5 ml- Chic Berry-360,2280.8,114.04,5.0,1.0,,None
B0CB8JCY3S,Note Cosmetics Collagen Concealer 02 Kolajen İçerikli SPF 20 Göz Altı Kapatıcısı,269.9,269.9,4.2,24.0,,None
B078LHP55S,"Maybelline New York Color Sensational Powder Matte Ruj, 15 Smoky Taupe, Nude",268.47,268.47,4.1,1.0,,None
B09ZYK1NN9,MISSHA Siyah Nokta Karşıtı Makyaj Temizleme Yağı 100ml Super Off Cleansing Oil (Blackhead Off),375.15,375.15,5.0,3.0,,None
B076KD7N1T,Golden Rose Emily Long Lasting Lip Pencil No: 211 - Uzun Süre Kalıcı Dudak Kalemi,114.9,114.9,4.4,25.0,,None
B008V5E9XA,Golden Rose Lipstick No: 57 - Nemlendirici Etkili Kremsi Ruj,226.06,226.06,4.0,107.0,,None
B07KZXXHC7,Golden Rose Dream Lips Lipliner No: 503 - Mat Bitişli Yumuşak Dudak Kalemi,117.5,117.5,4.0,42.0,,None
